Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
SRR1039508	48792027	0	4589947	0	0	0	0	0	48792027	0	100.0	nan	44202080	0	22101034	0	22101046	0	44202068	0	100.0	nan	44202068	0	12	0	0.0	nan	0	0	0	0	48792027
SRR1039509	43682828	0	3563907	0	0	0	0	0	43682828	0	100.0	nan	40118921	0	20059454	0	20059467	0	40118908	0	100.0	nan	40118908	0	13	0	0.0	nan	0	0	0	0	43682828
SRR1039512	58291616	0	4517444	0	0	0	0	0	58291616	0	100.0	nan	53774172	0	26887086	0	26887086	0	53774172	0	100.0	nan	53774172	0	0	0	0.0	nan	0	0	0	0	58291616
SRR1039513	34220656	0	2483134	0	0	0	0	0	34220656	0	100.0	nan	31737522	0	15868761	0	15868761	0	31737522	0	100.0	nan	31737522	0	0	0	0.0	nan	0	0	0	0	34220656
SRR1039516	56167226	0	4628496	0	0	0	0	0	56167226	0	100.0	nan	51538730	0	25769365	0	25769365	0	51538730	0	100.0	nan	51538730	0	0	0	0.0	nan	0	0	0	0	56167226
SRR1039517	70116630	0	5143858	0	0	0	0	0	70116630	0	100.0	nan	64972772	0	32486386	0	32486386	0	64972772	0	100.0	nan	64972772	0	0	0	0.0	nan	0	0	0	0	70116630
SRR1039520	43461132	0	3279146	0	0	0	0	0	43461132	0	100.0	nan	40181986	0	20090993	0	20090993	0	40181986	0	100.0	nan	40181986	0	0	0	0.0	nan	0	0	0	0	43461132
SRR1039521	48043990	0	3853706	0	0	0	0	0	48043990	0	100.0	nan	44190284	0	22095142	0	22095142	0	44190284	0	100.0	nan	44190284	0	0	0	0.0	nan	0	0	0	0	48043990
