gene_id,SRR1039517,SRR1039513,SRR1039508,SRR1039520,SRR1039516,SRR1039521,SRR1039512,SRR1039509
ENSG00000227232.6,7.02463066466185,7.06815312957834,7.296033886886,7.33778324427223,7.07647486689434,7.27699855764563,7.40144211864919,7.13073022333821
ENSG00000278267.1,6.1739588275971,6.25402627058283,5.85273974729587,6.19599565902361,6.02746786872699,6.04899066760549,6.15378877232923,6.13376017291598
ENSG00000279457.4,7.19733781839799,7.02773837295019,7.01567876402857,7.07244113813615,7.16164917487322,6.77867765809346,7.12566968147764,7.11699627682313
ENSG00000292994.1,6.33333892762572,5.85273974729587,6.22486304044162,6.24878830647679,6.42876775503144,6.19213527946606,6.24092582458696,6.33796107705516
ENSG00000290385.1,6.13106677361283,6.36969990106672,5.85273974729587,6.05122983088133,6.27943914457125,6.19213527946606,6.47570964780032,6.13376017291598
ENSG00000293331.1,6.01359790845836,5.85273974729587,6.11623430756795,5.85273974729587,6.09969207235017,6.04899066760549,6.15378877232923,6.13376017291598
ENSG00000225972.1,6.33333892762572,6.64780316393786,6.43871455958722,6.29519121889784,6.24249617853172,6.3696026895001,6.2001522367073,6.41215828509787
ENSG00000225630.1,9.92308907568716,10.0235634641331,9.72486464489337,9.41490813900204,9.90041279633797,9.6747037129852,9.71679555550684,9.82681559135554
ENSG00000237973.1,10.3431135876694,10.4185142946026,10.2290086566594,10.1580392104465,10.3160992818717,10.1947077418554,9.94917989968032,10.568853314933
ENSG00000229344.1,6.45063966471676,6.46313013893994,6.17523025114894,6.29519121889784,6.42876775503144,6.19213527946606,6.4516215729218,6.24953936051619
ENSG00000248527.1,12.0779654755358,12.5430235894174,12.0942226481955,11.9970083021337,12.1839130693785,12.0713045900474,12.3125514765136,12.3370875678288
ENSG00000198744.5,6.45063966471676,6.54341648852042,6.43871455958722,6.33704548447292,6.27943914457125,6.3696026895001,6.60324720886813,6.63907323624211
ENSG00000291215.1,6.67772976302851,6.67942334766249,6.695704309768,6.80834061266548,6.52380639907979,6.40487351891796,6.87591862061022,6.8659559771908
ENSG00000237491.10,6.58246261255917,6.58002384691541,6.49377798328374,6.44452219515301,6.73061970212919,6.24434098869796,6.74331856684964,6.56313845169464
ENSG00000177757.2,6.21168931170945,6.08491957637372,6.11623430756795,6.19599565902361,6.27943914457125,6.19213527946606,6.34288250907815,6.19664761180925
ENSG00000225880.6,6.69245845634876,6.79427688447131,6.65561310997044,6.78890439132164,6.67984481128199,6.67483612673592,6.62229990701941,6.68552411548045
ENSG00000228794.12,8.53334681740544,8.40174356314933,8.33406149046477,8.50729618523971,8.20998243695806,8.87131358318143,8.26084053879753,8.58509991944244
ENSG00000272438.1,6.21168931170945,6.08491957637372,6.22486304044162,6.33704548447292,6.27943914457125,6.13006730977567,6.42646323806871,6.05160801083001
ENSG00000223764.2,6.47131436009371,6.18073920156918,6.83822071657484,7.21965523770326,6.82334661939991,6.55395547074008,7.0264818262392,6.61467705140966
ENSG00000187634.13,6.88588556448256,6.41844465217274,7.93661648740475,7.33778324427223,7.62266691633161,6.75897518545018,7.60947433152061,7.49730659093979
ENSG00000188976.11,10.061023370697,9.61343893728948,9.85153189760503,9.56317811169376,9.80332450246467,9.70478585407646,9.77921881438094,10.2121113919691
ENSG00000187961.15,8.28883672455976,7.65076410932638,8.30700703462763,8.03801363487233,8.40195328035308,8.20949296138317,7.94225514831648,8.49333246684067
ENSG00000187583.11,6.54753357437138,6.36969990106672,6.61318606083847,6.44452219515301,6.54540732252872,6.5269453595243,6.49884747361303,6.44563587583212
ENSG00000187642.10,6.13106677361283,5.85273974729587,6.03918783091068,6.05122983088133,6.40228787281008,6.13006730977567,6.098693499914,5.85273974729587
ENSG00000188290.11,6.35907870118957,6.25402627058283,6.46690047466579,6.19599565902361,6.02746786872699,6.33162353943417,6.24092582458696,6.81010013984182
ENSG00000187608.10,7.98975032045513,7.80506953657534,8.68626683913908,7.96658112576079,8.0258303287942,8.11388767117979,8.08562444920338,8.49784422474516
ENSG00000188157.15,11.0969295378935,10.5075696296775,11.1779740632168,10.7544770294041,11.0610227263159,10.5856954002025,10.8777971170377,10.9706069816142
ENSG00000131591.18,7.82955425295579,7.57820539522931,7.68412078205686,7.85508860790371,7.75769590278093,7.76104680306477,7.66281393831672,7.76775773142582
ENSG00000285812.1,6.13106677361283,6.18073920156918,6.03918783091068,6.13322660512729,6.34485825328002,6.13006730977567,6.02676048627636,6.05160801083001
ENSG00000186891.14,6.27702030217563,5.85273974729587,6.03918783091068,5.85273974729587,6.15500955501163,5.85273974729587,5.85273974729587,5.85273974729587
ENSG00000078808.20,12.3373654652027,12.0885476244976,12.0820506182372,12.2271094302686,12.269244961845,12.2627121834299,12.1467290212291,12.1964170929257
ENSG00000176022.7,9.32446112134756,8.86232802626292,9.02219335628381,8.85943753250758,9.06213667992326,8.72671069194105,8.90393353757545,9.03602955750033
ENSG00000184163.3,6.49128093691089,6.41844465217274,6.4090208664399,6.56181200125221,6.27943914457125,6.60485631106423,6.60324720886813,6.44563587583212
ENSG00000260179.1,6.13106677361283,6.18073920156918,6.11623430756795,6.19599565902361,6.02746786872699,6.04899066760549,6.2001522367073,6.29602897303536
ENSG00000160087.21,9.43582310393864,9.38168952754307,9.43793931029604,9.43114154967795,9.40789739309169,9.4285256287382,9.38709866422428,9.58877376024159
ENSG00000230415.1,6.58246261255917,6.18073920156918,6.51950576234699,6.5345103967092,6.42876775503144,6.60485631106423,6.54265207860885,6.37643243546553
ENSG00000162572.21,7.59415683465336,7.59060484783147,7.93661648740475,7.59733489853599,7.72685815009644,7.57076935217089,7.70134688086472,7.74404066559953
ENSG00000131584.19,9.51075542428865,9.57970998009226,10.7498427523413,10.2270886164643,10.0573725218508,9.94407282838273,10.2191888712627,10.503581181461
ENSG00000169972.13,8.00259969695569,7.77357374243796,8.14247007605196,7.89804031339973,7.94427401715667,7.88508423830496,7.97324006898508,8.17384577935834
ENSG00000127054.22,10.1769985619923,10.0565490872014,10.2220041813177,10.042554272165,10.161811948401,10.205242119037,10.1618903162352,10.3694352508701
ENSG00000240731.1,6.7883980344645,6.84613897592036,6.93125881769865,7.05793682705937,6.83784075686036,6.75897518545018,6.80486050496996,6.84773833311243
ENSG00000224051.7,8.63298190959904,8.61492508386788,8.62988650270862,8.61853866130468,8.67489403401808,8.5736193346056,8.64455818352518,8.67906004451211
ENSG00000169962.5,6.35907870118957,6.31561283628526,6.46690047466579,6.33704548447292,6.45402434289658,6.49872245938722,6.37230618004694,6.29602897303536
ENSG00000107404.21,9.87177214028544,9.89719405356761,10.1888570994195,10.0410502236415,9.79919015909892,10.1626327176101,9.8835962057273,10.35007752425
ENSG00000162576.17,13.1034073369478,13.3297488920127,13.3849165383793,13.2276801075212,13.0195034965204,13.3549789452253,13.2826214654317,13.5057440870274
ENSG00000175756.14,9.69950529233491,9.31476524543279,9.5985867522981,9.46080654414762,9.44198265265183,9.48171615946224,9.41961855552962,9.76772178221075
ENSG00000221978.13,12.0518067870067,11.9775358049637,11.9476289599003,11.8316165758295,11.8702708807891,12.1276464677883,11.6746040831921,12.2631497005601
